548,64
432,32
1048,128
1140,128
636,64
936,64
1132,128
1312,128
492,64
1360,128
1172,128
1128,128
500,32
1476,128
1072,128
1392,128
276,32
1424,128
1108,128
736,64
976,128
676,64
776,64
408,32
2336,256
1212,128
2664,256
580,64
576,64
1144,128
1340,128
884,128
3076,256
900,64
948,128
584,64
1204,128
936,128
872,64
488,64
1104,128
552,64
1468,128
1324,128
632,64
1284,128
1248,128
456,32
1356,128
508,64
1340,128
696,64
576,64
364,32
936,128
804,64
480,64
1240,128
748,64
1208,128
1068,128
712,64
1316,128
2856,256
1900,128
1664,128
2340,256
1300,128
1484,128
1624,128
808,64
1016,128
944,64
2416,256
696,64
528,64
1524,128
1292,128
2260,256
1076,128
936,64
292,32
272,32
1392,128
2276,256
1128,128
616,64
656,64
428,64
588,64
1404,128
448,32
2272,256
432,32
772,64
948,64
756,64
1508,128
1396,128
828,64
